,accuracy,precision,recall,f1,auc
logistic_regression,0.9937578027465668,1.0,0.975,0.9873417721518988,0.9924376039933444
svm,0.9937578027465668,1.0,0.975,0.9873417721518988,0.9926871880199666
random_forest,0.9875156054931336,1.0,0.95,0.9743589743589743,0.9852121464226289
xgboost,0.9837702871410736,1.0,0.935,0.9664082687338501,0.9823128119800332
lightgbm,0.9875156054931336,1.0,0.95,0.9743589743589743,0.99022462562396
mlp,0.9937578027465668,1.0,0.975,0.9873417721518988,0.9935108153078203
bilstm,0.9937578027465668,1.0,0.975,0.9873417721518988,0.9870965058236273
transformer,0.9925093632958801,0.9948979591836735,0.975,0.9848484848484849,0.9837104825291181
resnet1d,0.9937578027465668,1.0,0.975,0.9873417721518988,0.9854159733777038
